category,category_en,model,task_subset,video_id,sample_id,rel_path,item_id,code,family,scheme,option_idx,grade,score,answer
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19985,MA1_baseline_quality,MA,ordinal5,2,2,2.0000,中等相似
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19986,MA2_action_rationality,MA,ordinal4,1,1,1.0000,基本合理
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19987,MA3_temporal_fluency,MA,ordinal4,1,1,1.0000,基本流畅
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19988,MA4_perturbation_impact,MA,ordinal4,3,3,3.0000,无影响（模型完全忽视扰动）
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19989,MA5_perturbed_realism,MA,ordinal4,1,1,1.0000,基本真实
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19990,MA6_visual_quality_drop,MA,ordinal4,0,0,0.0000,| D | 无下降：perturbed 画质与 baseline 相当或更好，差异可忽略 |
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19991,MA7_degradation_type,MA,categorical_multi,4,,,| none | 没有可见画质劣化 |
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19992,MA8_motion_change,MA,ordinal4,0,0,0.0000,连贯一致
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19993,MA9_optimism_judgment,MA,categorical,0,,,| **Y**（完全乐观偏差） | baseline 和 perturbed 几乎完全相同——模型完全忽视扰动，差异极小或没有差异 |
optimism,Optimism Bias Detection,DreamDojo-2B,tasks,task_001_combined,tasks/task_001_combined,human_annotation_dreamdojo_2b_gr1/videos/task_001/task_001_combined.json,19994,MB1_baseline_completion,MB,categorical,0,,,完全完成
