category,category_en,model,task_subset,video_id,sample_id,rel_path,item_id,code,family,scheme,option_idx,grade,score,answer
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19872,SC_A1,SC,severity4,1,B,0.6700,轻微违规：1-2 帧有轻微色偏，或偏移幅度小，整体印象颜色不变
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19873,SC_A2,SC,severity4,1,B,0.6700,轻微违规：形变略有异常，标注者有疑虑但不确定是否真的违规
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19874,MAT_TYPE_A,META,categorical,0,,,刚体（金属木材塑料等）
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19875,SC_A3,SC,severity4,1,B,0.6700,轻微违规：面积变化约 10-30%，且无视角变化可解释
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19876,MAT_TYPE_B,META,categorical,0,,,刚体（金属木材塑料等）
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19877,SC_A4,SC,severity4,1,B,0.6700,轻微违规：行为略有奇怪，但尚可在该材质范围内解释
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19878,SC_M1,SC,severity4,0,A,1.0000,是（无违规）：速度全程平滑，无突兀跳变
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19879,SC_M2,SC,severity4,0,A,1.0000,是（无违规）：方向全程连贯合理
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19880,SC_O1,SC,severity4,4,NA,,NA：无部分遮挡
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19881,SC_O2,SC,severity4,4,NA,,NA：无完全遮挡
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19882,IC_0,IC,severity4,0,A,1.0000,是（动作有明显效果）：被操作物有清晰可见的物理响应，符合动作力度
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19883,IC_1,IC,severity4,0,A,1.0000,是（无违规）：接触后才开始运动，因果时序正确
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19884,IC_2,IC,severity4,0,A,1.0000,是（无违规）：运动方向与施力方向基本一致（偏差 <30°）
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19885,IC_3,IC,severity4,2,C,0.3300,明显穿模 ← 0.33：持续 2-4 帧的肉眼可见穿透
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19886,EC_S1,EC,severity4,3,D,0.0000,严重违规：背景结构改变（物体消失出现），或持续大面积闪烁
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19887,EC_S2,EC,severity4,1,B,0.6700,轻微违规：亮度有轻微波动，但光源方向未改变
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19888,EC_O1,EC,severity4,3,D,0.0000,严重违规：位移 >20% 物体宽度，或物体消失出现
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19889,EC_O2,EC,severity4,4,NA,,NA：无意外碰撞
物理一致性,Physical Consistency,DreamDojo-14B,g1,0002_pred,g1/0002_pred,0421/g1/0002_pred.json,19890,OVERALL_1to5,AGG,overall5,3,2,2.0000,| 2 | 多处严重违规，物理一致性较差 |
物理一致性,Physical Consistency,DreamDojo-14B,g1,0004_pred,g1/0004_pred,0421/g1/0004_pred.json,19872,SC_A1,SC,severity4,1,B,0.6700,轻微违规：1-2 帧有轻微色偏，或偏移幅度小，整体印象颜色不变
